cm^-1,Intensity
1979.33025,0.74
1984.028773,0.754
1988.727295,0.78
1993.425818,0.825
1998.124341,0.841
2002.822864,0.8905
2007.521387,0.914
2012.21991,0.9165
2016.918433,0.925
2021.616956,0.928
2026.315478,0.931
2031.014001,0.9345
2035.712524,0.938
2040.411047,0.942
2045.10957,0.943
2049.808093,0.9435
2054.506616,0.944
2059.205138,0.944
2063.903661,0.944
2068.602184,0.942
2073.300707,0.941
2077.99923,0.94
2082.697753,0.938
2087.396276,0.936
2092.094798,0.934
2096.793321,0.934
2101.491844,0.935
2106.190367,0.935
2110.88889,0.937
2115.587413,0.942
2120.285936,0.943
2124.984458,0.942
2129.682981,0.94
2134.381504,0.9375
2139.080027,0.935
2143.77855,0.933
2148.477073,0.931
2153.175596,0.923
2157.874118,0.915
2162.572641,0.9125
2167.271164,0.909
2171.969687,0.909
2176.66821,0.909
2181.366733,0.9115
2186.065256,0.912
2190.763778,0.9145
2195.462301,0.915
2200.160824,0.9145
2204.859347,0.914
2209.55787,0.914
2214.256393,0.914
2218.954916,0.914
2223.653439,0.914
2228.351961,0.914
2233.050484,0.914
2237.749007,0.914
2242.44753,0.915
2247.146053,0.9175
2251.844576,0.918
2256.543099,0.917
2261.241621,0.915
2265.940144,0.9085
2270.638667,0.906
2275.33719,0.9005
2280.035713,0.896
2284.734236,0.8914
2289.432759,0.887
2294.131281,0.8855
2298.829804,0.885
2303.528327,0.8886
2308.22685,0.8961
2312.925373,0.9086
2317.623896,0.919
2322.322419,0.9276
2327.020941,0.934
2331.719464,0.936
2336.417987,0.938
2341.11651,0.9435
2345.815033,0.946
2350.513556,0.9505
2355.212079,0.953
2359.910601,0.954
2364.609124,0.954
2369.307647,0.954
2374.00617,0.953
2378.704693,0.95
2383.403216,0.947
2388.101739,0.944
2392.800262,0.941
2397.498784,0.937
2402.197307,0.934
2406.89583,0.932
2411.594353,0.928
2416.292876,0.9245
2420.991399,0.921
2425.689922,0.9175
2430.388444,0.915
2435.086967,0.915
2439.78549,0.917
2444.484013,0.92
2449.182536,0.9241
2453.881059,0.9296
2458.579582,0.9331
2463.278104,0.9386
2467.976627,0.944
2472.67515,0.9481
2477.373673,0.95
2482.072196,0.951
2486.770719,0.951
2491.469242,0.951
2496.167764,0.951
2500.866287,0.951
2505.56481,0.951
2510.263333,0.95
2514.961856,0.95
2519.660379,0.95
2524.358902,0.95
2529.057424,0.95
2533.755947,0.949
2538.45447,0.949
2543.152993,0.9489
2547.851516,0.9465
2552.550039,0.944
2557.248562,0.9405
2561.947084,0.938
2566.645607,0.9359
2571.34413,0.9308
2576.042653,0.917
2580.741176,0.9048
2585.439699,0.8893
2590.138222,0.8799
2594.836745,0.8689
2599.535267,0.8519
2604.23379,0.8378
2608.932313,0.826
2613.630836,0.823
2618.329359,0.8262
2623.027882,0.8366
2627.726405,0.8471
2632.424927,0.8515
2637.12345,0.86
