cm^-1,Intensity
3145.0,0.7385
3150.0,0.7613
3155.0,0.7897
3160.0,0.8024
3165.0,0.805
3170.0,0.8081
3175.0,0.8179
3180.0,0.8513
3185.0,0.8669
3190.0,0.8732
3195.0,0.8757
3200.0,0.8765
3205.0,0.8771
3210.0,0.8778
3215.0,0.8782
3220.0,0.8785
3225.0,0.8787
3230.0,0.8791
3235.0,0.8793
3240.0,0.8797
3245.0,0.8799
3250.0,0.8801
3255.0,0.8802
3260.0,0.8803
3265.0,0.8804
3270.0,0.8806
3275.0,0.8807
3280.0,0.8807
3285.0,0.8808
3290.0,0.8808
3295.0,0.8808
3300.0,0.8809
3305.0,0.8809
3310.0,0.8811
3315.0,0.8814
3320.0,0.8817
3325.0,0.8819
3330.0,0.8822
3335.0,0.8825
3340.0,0.8828
3345.0,0.883
3350.0,0.8831
3355.0,0.883
3360.0,0.8829
3365.0,0.8829
3370.0,0.8828
3375.0,0.8827
3380.0,0.8827
3385.0,0.8826
3390.0,0.8826
3395.0,0.8823
3400.0,0.8821
3405.0,0.8817
3410.0,0.8815
3415.0,0.8812
3420.0,0.881
3425.0,0.8808
3430.0,0.8808
3435.0,0.8806
3440.0,0.8806
3445.0,0.8805
3450.0,0.8808
3455.0,0.8813
3460.0,0.8818
3465.0,0.8824
3470.0,0.8831
3475.0,0.8838
3480.0,0.8842
3485.0,0.8843
3490.0,0.8844
3495.0,0.8844
3500.0,0.8845
3505.0,0.8842
3510.0,0.8839
3515.0,0.8835
3520.0,0.8833
3525.0,0.8829
3530.0,0.8826
3535.0,0.8824
3540.0,0.8824
3545.0,0.8823
3550.0,0.8822
3555.0,0.8822
3560.0,0.8821
3565.0,0.8821
3570.0,0.882
3575.0,0.8819
3580.0,0.8819
3585.0,0.8818
3590.0,0.8818
3595.0,0.8817
3600.0,0.8816
3605.0,0.8816
3610.0,0.8815
3615.0,0.8814
3620.0,0.8814
3625.0,0.8814
3630.0,0.8815
3635.0,0.8817
3640.0,0.8819
3645.0,0.8821
3650.0,0.8823
3655.0,0.8824
3660.0,0.8827
3665.0,0.8828
3670.0,0.883
3675.0,0.8831
3680.0,0.8833
3685.0,0.8834
3690.0,0.8836
3695.0,0.8837
3700.0,0.8839
3705.0,0.884
3710.0,0.8842
3715.0,0.8843
3720.0,0.8846
3725.0,0.8848
3730.0,0.885
3735.0,0.8852
3740.0,0.8855
3745.0,0.8857
3750.0,0.8859
3755.0,0.8861
3760.0,0.8863
3765.0,0.8864
3770.0,0.8867
3775.0,0.8868
3780.0,0.887
3785.0,0.8871
3790.0,0.8872
3795.0,0.8873
