cm^-1,Intensity
1932.419062,0.89
1937.11244,0.918
1941.805818,0.941
1946.499196,0.95
1951.192574,0.959
1955.885952,0.96
1960.57933,0.96
1965.272708,0.96
1969.966086,0.959
1974.659464,0.959
1979.352842,0.96
1984.04622,0.96
1988.739598,0.962
1993.432976,0.96
1998.126354,0.957
2002.819732,0.956
2007.51311,0.956
2012.206488,0.9535
2016.899866,0.952
2021.593244,0.9486
2026.286622,0.946
2030.98,0.944
2035.673378,0.946
2040.366756,0.949
2045.060134,0.9558
2049.753512,0.9579
2054.44689,0.8699
2059.140268,0.9587
2063.833646,0.9474
2068.527024,0.938
2073.220402,0.9241
2077.91378,0.9228
2082.607158,0.9298
2087.300536,0.9386
2091.993914,0.9512
2096.687292,0.9578
2101.38067,0.9617
2106.074048,0.963
2110.767426,0.966
2115.460804,0.966
2120.154182,0.9651
2124.847559,0.963
2129.540937,0.9621
2134.234315,0.96
2138.927693,0.96
2143.621071,0.959
2148.314449,0.959
2153.007827,0.957
2157.701205,0.957
2162.394583,0.959
2167.087961,0.9598
2171.781339,0.962
2176.474717,0.962
2181.168095,0.9591
2185.861473,0.956
2190.554851,0.954
2195.248229,0.953
2199.941607,0.9546
2204.634985,0.956
2209.328363,0.9563
2214.021741,0.957
2218.715119,0.9593
2223.408497,0.96
2228.101875,0.9593
2232.795253,0.9623
2237.488631,0.9635
2242.182009,0.965
2246.875387,0.9645
2251.568765,0.9598
2256.262143,0.9575
2260.955521,0.9652
2265.648899,0.969
2270.342277,0.969
2275.035655,0.969
2279.729033,0.97
2284.422411,0.97
2289.115789,0.97
2293.809167,0.972
2298.502545,0.972
2303.195923,0.9734
2307.889301,0.9757
2312.582679,0.9782
2317.276057,0.9804
2321.969434,0.9812
2326.662812,0.984
2331.35619,0.9885
2336.049568,0.992
2340.742946,0.9937
2345.436324,0.9867
2350.129702,0.984
2354.82308,0.984
2359.516458,0.9851
2364.209836,0.989
2368.903214,0.9855
2373.596592,0.9784
2378.28997,0.9778
2382.983348,0.9708
2387.676726,0.97
2392.370104,0.97
2397.063482,0.97
2401.75686,0.969
2406.450238,0.97
2411.143616,0.972
2415.836994,0.97
2420.530372,0.97
2425.22375,0.97
2429.917128,0.969
2434.610506,0.969
2439.303884,0.969
2443.997262,0.97
2448.69064,0.9695
2453.384018,0.969
2458.077396,0.969
2462.770774,0.97
2467.464152,0.97
2472.15753,0.9719
2476.850908,0.969
2481.544286,0.969
2486.237664,0.97
2490.931042,0.97
2495.62442,0.9725
2500.317798,0.972
2505.011176,0.972
2509.704554,0.972
2514.397932,0.972
2519.091309,0.972
2523.784687,0.973
2528.478065,0.973
2533.171443,0.973
2537.864821,0.973
2542.558199,0.973
2547.251577,0.973
2551.944955,0.973
2556.638333,0.973
2561.331711,0.972
2566.025089,0.972
2570.718467,0.972
2575.411845,0.972
2580.105223,0.972
2584.798601,0.972
2589.491979,0.9724
2594.185357,0.973
2598.878735,0.973
2603.572113,0.973
2608.265491,0.973
2612.958869,0.973
2617.652247,0.973
2622.345625,0.973
2627.039003,0.973
2631.732381,0.973
2636.425759,0.973
2641.119137,0.973
2645.812515,0.973
2650.505893,0.973
2655.199271,0.973
